session_id,session_status,year,age,raceomb,sex,att,att_7,country,countrycit,countryres,edu,politicalid,STATE,sexnum,countrycitnum,Implicit,Explicit,politics,education,racenum,filter_$
9460157,C,2008,50,6,m,5,5,,ZA,US,11,7,NY,0,1,0.9257073109888279,5,7,10,6,1
6517057,C,2007,46,7,m,5,5,,US,US,7,7,CA,0,0,0.8555289106266747,5,7,7,7,1
18410179,C,2012,17,6,f,5,5,,US,US,4,3,FL,1,0,-0.22807847485033783,5,3,4,6,1
6871940,C,2007,28,8,f,4,4,,US,US,5,3,KS,1,0,0.695971618855818,4,3,5,8,1
20151149,C,2013,23,6,m,4,4,,US,US,9,7,NY,0,0,0.8054481617242464,4,7,9,6,1
16236090,C,2011,19,6,m,5,5,,CA,CA,4,4,,0,1,0.7643247127554116,5,4,4,6,1
10341024,C,2009,17,8,m,6,6,,US,US,3,6,CT,0,0,0.41209776959711975,6,6,3,8,1
2618679670,C,2015,NA,6,.,3,3,,1,1,NA,6,NY,4,0,0.49176734781424125,3,6,3,6,1
10597932,C,2009,26,6,m,4,4,,US,US,5,2,UT,0,0,0.45634374157787694,4,2,5,6,1
2619723635,C,2015,NA,2,.,5,5,,1,1,NA,6,NC,1,0,0.05762138399811467,5,6,5,2,1
2616307149,C,2015,25,2,m,4,4,,US,US,11,6,OH,0,0,-0.5070135019835392,4,6,10,2,1
2618272081,C,2015,NA,NA,.,2,2,,1,1,NA,4,NC,NA,0,-0.8721094781257593,2,4,9,NA,1
9054315,C,2008,19,6,f,4,4,,US,US,5,6,GA,1,0,0.44846227647013903,4,6,5,6,1
